year,architecture,code,evaluation,factuality,general-knowledge,math,medical,other,Total
2023,debate,0,0,0,0,1,0,0,1
2024,cooperation,3,1,0,0,0,0,0,4
2024,debate,0,0,0,0,0,1,0,1
2024,hierarchy,2,0,0,0,0,1,0,3
2024,moa,0,0,0,0,0,0,1,1
2024,planner-executor,1,0,0,0,0,0,0,1
2024,role-play,1,0,0,0,0,0,0,1
2025,cooperation,1,0,0,1,0,0,1,3
2025,debate,0,1,1,2,2,1,4,11
2025,hierarchy,0,0,0,0,0,0,1,1
2025,verifier-critic,0,0,0,0,0,0,1,1
2026,cooperation,1,0,0,0,0,0,1,2
2026,debate,0,0,0,0,3,3,1,7
2026,hierarchy,0,1,0,0,0,1,0,2
2026,role-play,1,0,0,0,0,0,0,1
2026,verifier-critic,1,0,0,0,0,0,0,1
Total,,11,3,1,3,6,7,10,41
